supplier,externalSku,name,size,abv,unitsPerCase,unit,priceBottleExGst,priceCaseExGst,gstPercent,category,notes
Nicely Done,,RRP,,,,bottle,35,,15,,
Nicely Done,,4 in a case – case price,,,,bottle,223.92,,15,,
Nicely Done,,RRP,,,,bottle,64.99,,15,,
Nicely Done,,RRP,,,,bottle,29.99,,15,,
